Host_Id,Name,Neighbourhood ,Property_Type,Review_Scores_Rating_bin,Room_Type,Zipcode,Beds,Number_of_Records,Number_Of_Reviews,Price
25551,williamsburg design // with balcony,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,20,199
25632,"Sunny 2BD, 2 balconies",Brooklyn,Apartment,100,Entire home/apt,11222,2,1,1,300
26210,Private room in Harlem apartment,Manhattan,Apartment,90,Private room,10039,1,1,69,85
26333,Artist Loft in Midtown West,Manhattan,Apartment,95,Entire home/apt,10018,2,1,6,375
26640,Gorgeous Sunny Studio,Manhattan,Apartment,75,Entire home/apt,10024,2,1,38,135
26640,Stunning 1br in Historic Brownstone,Manhattan,Apartment,90,Entire home/apt,10024,2,1,26,289
26640,Sunny Studios in Historic Browstone,Manhattan,Apartment,80,Entire home/apt,10024,1,1,9,179
27104,Great Room in Manhattan - $60/Night,Manhattan,Apartment,90,Private room,10030,1,1,73,60
27580,Sunny South Williamsurg,Brooklyn,Apartment,0,Entire home/apt,11211,1,1,0,125
27969,Great room in spacious apartment!,Manhattan,Apartment,0,Private room,10033,1,1,0,98
27848,Bargain Space,Queens,House,85,Private room,11434,2,1,24,55
27848,CRASH PALACE,Queens,House,85,Private room,11434,2,1,11,68
27848,ENJOY THE CITY ON CHEAP,Queens,House,75,Private room,11434,1,1,43,45
27848,Excellent/Pvt Rm,Queens,House,85,Private room,11434,2,1,47,55
27848,Great Deal/Pvt Rm,Queens,House,85,Private room,11434,2,1,58,55
27848,Private Rm2/Shared Bath,Queens,House,90,Private room,11434,2,1,53,55
27848,Right on Budget,Queens,House,85,Private room,11434,2,1,57,68
28267,Cozy BK home with HUGE private yard,Brooklyn,Apartment,95,Entire home/apt,11249,3,1,23,195
28217,Large sunny bedroom in Greenpoint,Brooklyn,Apartment,100,Private room,11222,1,1,2,55
28738,Stunning 1 BR - Battery Park,Manhattan,Apartment,0,Entire home/apt,10280,2,1,0,300
28702,Share Loft  in the heart of nyc,Manhattan,Loft,90,Private room,10018,1,1,2,120
29096,Clean East Village Studio,Manhattan,Apartment,95,Entire home/apt,10009,1,1,165,135
29642,Cute apartment LES/Nolita/Chinatown,Manhattan,Apartment,90,Entire home/apt,10002,2,1,4,190
29642,Private room in cute central apt,Manhattan,Apartment,95,Private room,10002,1,1,9,95
29805,"Cool, quiet Park Slope apartment",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,125
29762,NYC Special Occasions Room #1,Brooklyn,Apartment,80,Private room,11233,2,1,92,29
29762,NYC Special Occasions Room #2,Brooklyn,Apartment,85,Private room,11233,1,1,79,27
29762,NYC-Brooklyn #1 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,87,39
29762,NYC-Brooklyn #2 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,92,39
29762,NYC-Brooklyn #3 18 min to Manhattan,Brooklyn,Apartment,90,Private room,11233,1,1,98,39
29762,NYC-Brooklyn #4 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,81,39
29762,NYC-Brooklyn #5 18 min to Manhattan,Brooklyn,Apartment,85,Private room,11233,1,1,108,35
30193,Midtown Pied-a-terre,Manhattan,Apartment,90,Entire home/apt,10019,1,1,40,150
30529,Private room w/ separate entrance!,Brooklyn,Apartment,100,Private room,11238,1,1,2,84
30811,European Style apartment in NYC,Manhattan,Apartment,80,Entire home/apt,10025,1,1,1,115
30990,Stay in the Meatpacking District!,Manhattan,Apartment,95,Entire home/apt,0,1,1,109,249
32045,Spacious 1 bedroom in luxe building,Manhattan,Apartment,95,Private room,10027,1,1,12,60
32105,East Village 1 Bedroom apartment,Manhattan,Apartment,95,Entire home/apt,10003,1,1,7,140
32169,Greenpoint Loft / Le Chez Andrea,Brooklyn,Apartment,85,Private room,11222,1,1,50,70
32169,Loft in Williamsburg Area w/ Roof,Brooklyn,Apartment,80,Private room,11222,1,1,127,70
32169,Room in Greenpoint Loft w/ Roof,Brooklyn,Apartment,80,Private room,11222,1,1,88,70
32330,E Vill-great studio sleeps 2,Manhattan,Apartment,85,Entire home/apt,10009,1,1,83,130
